// basic
Action_JoyAxis				"JOY_OS"
Action_JoyButton			"PRZYCISK"
Action_JoyPOV				"POV"
Action_MouseAxis			"MOUSE AXIS"
Action_MouseButtonLeft		"LEFT MOUSE BUTTON"
Action_MouseButtonCenter	"MIDDLE MOUSE BUTTON"
Action_MouseButtonRight		"RIGHT MOUSE BUTTON"
Key_Space					"SPACE"
Key_Return					"ENTER"
Key_LShift					"LEFT SHIT"
Key_RShift					"RIGHT SHIFT"
Key_LControl				"LEFT CONTROL"
Key_RControl				"RIGHT CONTROL"
Key_LAlt					"LEFT ALT"
Key_RAlt					"RIGHT ALT"
Key_Tab						"TAB"
Key_Insert					"INSERT"
Key_Delete					"DELETE"
Key_Home					"HOME"
Key_End						"END"
Key_PgUp					"PAGE_UP"
Key_PgDown					"PAGE_DOWN"
Key_Backspace				"BACKSPACE"
Key_Left					"LEFT ARROW"
Key_Right					"RIGHT ARROW"
Key_Up						"UP ARROW"
Key_Down					"DOWN ARROW"
Resolution					"Resolution"
Fullscreen					"Fullscreen"
VSync						"V-Sync"
MaterialQuality				"Material Quality"
Shadows						"Shadows"
KeepThoseSettings			"Do you want to keep these settings?\nPrevious ones will be restored in"
Seconds						"sekund"
WaitingForInput				"WAITING..."
NewProfile					"Player"

// Main menu
MainMenu_PlayGame	"Start Game"
MainMenu_Options	"Settings"
MainMenu_Profiles	"Profiles"
MainMenu_Credits	"Credits"
MainMenu_Exit		"Exit"

// Profiles
Title_Profiles		"Profile"
Profile_Select	"Confirm"
Profile_New		"Create New"
Profile_Delete	"Delete"
Profiles_NewText	"Enter a name for the new profile"
Profiles_NewText2	"and press ENTER"
ProfileName_UsedAlready	"A profile with this name already exists"
ProfileName_TooShort 	"At least one character is required"
ProfileName_BadStart	"The name must start with a letter"
ProfileName_BadSigns	"The name contains characters that are not allowed"

// Select mission
Title_SelectMission		"Choose Mission"
SelectMission_Shunter	"Plaza"
SelectMission_City		"City"
SelectMission_Exam		"Exams"
SelectMission_FreeRide	"Free Roam"
SelectMission_Special	"Special"
SelectMission_ITest		"Test situations"

// Credits
Title_Credits	"Credits"
Credits_CEO		"Chairman of Freemind"
Credits_PM		"Project Manager"
Credits_C		"Programming"
Credits_G		"Graphics"
Credits_AG		"Additional Graphics"
Credits_S		"Sounds"
Credits_M		"Music"
Credits_QA		"Tests"
Credits_DTP		"DTP"
Credits_MS		"Marketing and Sales"
Credits_SUP		"Substantive Supervision"
Credits_ST		"Thanks"
Credits_Legal   "Symulator Jazdy 2, Freemind 2010. This program is protected by international copyright and trade laws. All rights reserved. All names, titles and logos are reserved by their owners."
Credits_DU		"Translation"

OrToggleEngine	"(or start the engine)"
OrToggleHandbrake	"(or apply the parking brake)"

Ad_MobileTests "Check out my other stuff:"
Ad_MobileTestsURL "github.com/FlexBy420"

// Mission titles
MT_City00		"Downtown Fever"
MT_City01		"Millenia Estate"
MT_City02		"Out of Town"
MT_City03		"Rainy Afternoon"
MT_City04		"Downtown once again"
MT_City05		"Sun and Rain in the Mountains"
MT_City06		"Rainy Millennium"
MT_Exam00		"Exam 1"
MT_FreeRide00	"City Center Drive"
